
 num     #instances         #bytes  class name
 115:          2190          70080  org.springframework.beans.BeanWrapperImpl$BeanPropertyHandler
 116:            75          67880  [J
 117:          1028          65792  java.util.concurrent.ConcurrentHashMap
 118:          1942          62144  sun.security.util.ObjectIdentifier
 119:          1540          61600  sun.nio.cs.UTF_8$Decoder
 120:          1511          60440  org.springframework.boot.loader.jar.CentralDirectoryFileHeader
 121:           684          60192  java.util.jar.JarEntry
 122:          3737          59792  org.springframework.core.annotation.AnnotationUtils$DefaultValueHolder
 123:          2491          59784  org.springframework.core.SerializableTypeWrapper$2
 124:          2768          59064  [Lsun.reflect.generics.tree.FieldTypeSignature;
 125:          1411          56440  java.util.HashMap$EntryIterator
 126:          3522          56352  java.util.Collections$SingletonSet
 127:          1740          55680  java.util.Vector
 128:          2291          54984  java.util.Collections$UnmodifiableRandomAccessList
 129:           964          53984  sun.nio.cs.UTF_8$Encoder
 130:          1106          53088  org.springframework.beans.PropertyValue
 131:          1242          49680  java.math.BigInteger
 132:          1204          49656  [Ljava.beans.PropertyDescriptor;
 133:          2065          49560  sun.reflect.annotation.AnnotationInvocationHandler
 134:          1532          49024  com.sun.jersey.core.reflection.AnnotatedMethod
 135:          2965          47440  java.util.LinkedHashMap$LinkedEntrySet
 136:           585          46800  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 137:           729          46656  org.hibernate.validator.internal.metadata.raw.ConstrainedExecutable
 138:           288          46080  org.springframework.beans.factory.support.RootBeanDefinition
 139:           942          45216  java.util.TreeMap
 140:           925          44400  org.apache.tomcat.util.modeler.AttributeInfo
 141:          1104          44160  org.springframework.core.convert.Property
 142:           683          43712  sun.nio.fs.WindowsFileAttributes
 143:           678          43392  org.hibernate.validator.internal.metadata.aggregated.ExecutableMetaData
 144:          1778          42672  sun.security.util.DerOutputStream
 145:           755          42280  java.lang.Package
 146:          1754          42096  sun.reflect.generics.visitor.Reifier
 147:          1731          41544  java.lang.StringBuffer
 148:          1705          40920  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 149:          1497          39960  [Lsun.security.util.DerValue;
 150:          1241          39712  java.io.FileNotFoundException
 151:           705          39480  sun.nio.cs.ISO_8859_1$Encoder
 152:           409          39032  [Ljava.beans.MethodDescriptor;
 153:          1622          38928  org.springframework.core.annotation.AnnotationUtils$AnnotationCacheKey
 154:          1614          38736  java.io.ByteArrayOutputStream
 155:          1657          38640  [Ljava.lang.reflect.Constructor;
 156:          1195          38240  java.security.CodeSource
 157:          1189          38048  java.util.LinkedHashMap$LinkedEntryIterator
 158:           944          37760  java.util.WeakHashMap$Entry
 159:          1540          36960  sun.reflect.generics.factory.CoreReflectionFactory
 160:          1114          35648  [Lorg.springframework.boot.bind.RelaxedNames$Variation;
 161:            77          35488  [Ljava.net.URL;
 162:           628          35168  java.util.concurrent.ConcurrentHashMap$KeyIterator
 163:          2181          34896  java.util.HashMap$EntrySet
 164:           871          34840  sun.reflect.generics.repository.MethodRepository
 165:          2125          34000  java.util.jar.Attributes
 166:           683          32784  sun.nio.fs.WindowsPath$WindowsPathWithAttributes
 167:          1360          32632  [Ljava.security.cert.Certificate;
 168:           678          32544  org.hibernate.validator.internal.metadata.aggregated.ReturnValueMetaData
 169:           397          31760  org.springframework.beans.BeanWrapperImpl
 170:            30          31200  [[C
 171:          1291          30984  org.springframework.beans.MutablePropertyValues
 172:           955          30560  sun.misc.URLClassPath$Loader$1
 173:          1273          30552  java.util.concurrent.ConcurrentLinkedQueue$Node
 174:           619          29712  java.nio.HeapByteBuffer
 175:          1856          29696  org.springframework.core.SerializableTypeWrapper$1
 176:           922          29504  java.util.LinkedList$ListItr
 177:           920          29440  sun.reflect.generics.tree.MethodTypeSignature
 178:          1828          29248  sun.reflect.ConstantPool
 179:          1214          29136  com.sun.activation.registries.MimeTypeEntry
 180:          1790          28640  java.util.LinkedHashMap$LinkedValues
 181:           894          28608  sun.security.util.ManifestDigester$Section
 182:          1166          27984  org.springframework.beans.BeanMetadataAttribute
 183:           874          27968  java.util.TreeMap$EntryIterator
 184:          1151          27624  org.springframework.core.convert.TypeDescriptor
 185:          1151          27624  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 186:           570          27360  ch.qos.logback.classic.Logger
 187:          1124          26976  org.springframework.beans.AbstractNestablePropertyAccessor$PropertyTokenHolder
 188:          1113          26712  org.springframework.boot.bind.RelaxedNames
 189:           825          26400  java.io.ByteArrayInputStream
 190:           879          25912  [Lcom.sun.jersey.core.reflection.AnnotatedMethod;
 191:           402          25728  org.springframework.asm.Label
 192:          1056          25344  org.hibernate.validator.internal.metadata.location.ConstraintLocation
 193:          1053          25272  java.lang.Class$AnnotationData
 194:           521          25008  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 195:          1030          24720  sun.reflect.NativeConstructorAccessorImpl
 196:           920          24584  [Lsun.reflect.generics.tree.TypeSignature;
 197:           993          23832  java.util.Collections$SynchronizedSet
 198:           588          23520  sun.nio.fs.WindowsPath
 199:           488          23424  java.util.Hashtable$Enumerator
 200:           585          23400  org.springframework.util.ConcurrentReferenceHashMap
 201:           962          23088  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
 202:           952          22848  org.springframework.beans.factory.support.MethodOverrides
 203:           950          22800  org.springframework.beans.factory.config.ConstructorArgumentValues
 204:           203          22640  [Ljava.util.WeakHashMap$Entry;
 205:           898          21552  java.security.Provider$ServiceKey
 206:           894          21456  sun.security.util.ManifestDigester$Entry
 207:           880          21120  [Lsun.security.x509.AVA;
 208:           880          21120  sun.security.x509.AVA
 209:           880          21120  sun.security.x509.RDN
 210:          1216          20912  [Lsun.reflect.generics.tree.FormalTypeParameter;
 211:           871          20904  sun.reflect.generics.scope.MethodScope
 212:           285          20520  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 213:           636          20352  java.util.RegularEnumSet
 214:          1042          20000  [Ljava.lang.reflect.Parameter;
 215:           409          19632  java.beans.BeanDescriptor
 216:           406          19488  java.util.Hashtable
 217:           346          19376  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 218:          1201          19216  org.hibernate.validator.internal.metadata.aggregated.GroupConversionHelper
 219:           400          19200  org.apache.tomcat.util.modeler.OperationInfo
 220:           596          19072  org.springframework.asm.Type
 221:           384          19064  [Ljava.security.ProtectionDomain;
 222:           335          18760  sun.security.ssl.CipherSuite
 223:          1166          18656  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet
 224:           759          18216  sun.reflect.generics.scope.ClassScope
 225:           557          17824  javax.management.MBeanAttributeInfo
 226:           739          17736  org.hibernate.validator.internal.metadata.raw.ExecutableElement$MethodElement
 227:           732          17568  sun.security.x509.X509AttributeName
 228:           731          17544  org.springframework.core.MethodIntrospector$1
 229:           730          17520  org.springframework.cglib.core.Signature
 230:          1074          17184  sun.reflect.DelegatingConstructorAccessorImpl
 231:           705          16920  sun.nio.cs.Surrogate$Parser
 232:           702          16768  [Ljava.security.CodeSigner;
 233:            44          16544  java.lang.Thread
 234:           686          16464  sun.nio.fs.WindowsPathParser$Result
 235:           409          16360  java.beans.GenericBeanInfo
 236:           407          16280  java.lang.reflect.Parameter
 237:           288          16128  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 238:           402          16080  java.util.HashMap$ValueIterator
 239:             1          16016  [Lorg.springframework.boot.actuate.audit.AuditEvent;
 240:           330          15840  java.nio.HeapCharBuffer
 241:           660          15840  org.springframework.beans.factory.annotation.InjectionMetadata
 242:           174          15312  org.springframework.beans.ExtendedBeanInfo$SimplePropertyDescriptor
 243:           266          14896  org.hibernate.validator.internal.metadata.raw.ConstrainedParameter
 244:           616          14784  org.springframework.http.MediaType
 245:           457          14624  sun.security.x509.AlgorithmId
 246:           578          14616  [Lorg.springframework.asm.Type;
 247:           260          14560  freemarker.core.TextBlock
 248:           603          14472  java.util.concurrent.CopyOnWriteArrayList
 249:           601          14424  sun.security.util.BitArray
 250:           442          14144  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 251:           883          14128  java.util.concurrent.locks.ReentrantLock
 252:           294          14112  org.hibernate.validator.internal.metadata.aggregated.ParameterMetaData
 253:           579          13896  java.util.concurrent.CopyOnWriteArrayList$COWIterator
 254:           212          13568  org.springframework.util.LinkedCaseInsensitiveMap$1
 255:           278          13344  java.util.logging.LogManager$LoggerWeakRef
 256:           230          12880  java.security.Provider$Service
 257:           322          12880  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 258:           402          12864  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
